"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"12V1,BOTONERA1,MOTOR1,R_CALEFACTABLE1","4","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C1,C4,C6,C7,C10,C11,C12,C13","8","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C5","2","15p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C8,C9,C15,C16","4","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14","1","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"CAN1","1","DE9_Pins","","","","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm","~"
"D1,DPA1,DPA2,DPM+1,DPM+2,DPM-1","6","D","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D2","1","DPM-1","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"DR1,DR2","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"J_MCLR1","1","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"K1","1","A161CS12VDC.64","","","","Library:RELAY_A161CS12VDC.64",""
"L1","1","1,5u","","","","Inductor_SMD:L_0805_2012Metric","~"
"PROGRAMACI?","1","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"Q1","1","IRLZ34N","","","","Library:SOT95P237X112-3N","http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720"
"Q2,Q3,Q4,Q5","4","IRLZ34N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720"
"R1","1","0","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R5,R7,R12","4","2.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R8,R9,R11,R13,R14,R15,R16,R17,R19,R21,RMCLR1","12","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R23,R24","3","200k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10","1","680","","","","Resistor_SMD:R_0805_2012Metric","~"
"R18,R20","2","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R22","1","120R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R_shunt1","1","0.005R","","","","Resistor_SMD:R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm","~"
"s.PROXIMITAT1,USART1","2","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"SW_MCLR1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","TPS63070RNMR","","","","Library:TPS63070RNMR",""
"U3","1","PCA9306","","","","Library:PCA","http://www.ti.com/lit/ds/symlink/pca9306.pdf"
"U4","1","LM1117DT-5.0","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"U5","1","PIC18F448-IP","","","","Library:PIC258SMD","http://ww1.microchip.com/downloads/en/DeviceDoc/41159e.pdf"
"U6","1","MMC5883MA","","","","Package_LGA:LGA-16_3x3mm_P0.5mm","http://www.memsic.com/userfiles/files/DataSheets/Magnetic-Sensors-Datasheets/MMC5883MA-RevC.pdf"
"U7","1","OPA336Nx","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/opa2336.pdf"
"U8","1","MCP2551-I-P","","","","Library:SOIC127P599X175-8N","http://ww1.microchip.com/downloads/en/devicedoc/21667d.pdf"
"Y1","1","Crystal","","","","Crystal:Crystal_SMD_0603-2Pin_6.0x3.5mm","~"
